user_id,email,password_hash,first_name,last_name,role,created_at,UpdatedAt,last_login,is_active,IsEmailVerified
1,ali.adel0@gmail.com,hashed_pw,Ali,Adel,mentor,2023-11-12,2023-11-12,2023-12-12,1,1
2,hassan.ali1@gmail.com,hashed_pw,Hassan,Ali,mentor,2023-04-03,2023-04-03,2023-04-14,1,1
3,laila.yasin2@gmail.com,hashed_pw,Laila,Yasin,mentor,2024-12-22,2024-12-22,2025-02-05,1,1
4,fatma.hassan3@gmail.com,hashed_pw,Fatma,Hassan,mentor,2023-08-09,2023-08-09,2023-10-02,1,1
5,khaled.mahmoud4@gmail.com,hashed_pw,Khaled,Mahmoud,mentor,2023-04-04,2023-04-04,2023-05-20,1,1
6,ali.farag5@gmail.com,hashed_pw,Ali,Farag,mentor,2024-02-10,2024-02-10,2024-03-14,1,1
7,ahmed.yasin6@gmail.com,hashed_pw,Ahmed,Yasin,mentor,2023-09-24,2023-09-24,2023-11-16,1,1
8,youssef.hassan7@gmail.com,hashed_pw,Youssef,Hassan,mentor,2024-02-19,2024-02-19,2024-04-14,1,1
9,mona.nasser8@gmail.com,hashed_pw,Mona,Nasser,mentor,2024-07-17,2024-07-17,2024-08-02,1,1
10,omar.adel9@gmail.com,hashed_pw,Omar,Adel,mentor,2023-04-15,2023-04-15,2023-06-06,1,1
11,youssef.ali10@gmail.com,hashed_pw,Youssef,Ali,mentor,2023-01-13,2023-01-13,2023-01-17,1,1
12,ali.mahmoud11@gmail.com,hashed_pw,Ali,Mahmoud,mentor,2023-07-22,2023-07-22,2023-09-13,1,1
13,sara.farag12@gmail.com,hashed_pw,Sara,Farag,mentor,2024-12-03,2024-12-03,2025-01-13,1,1
14,laila.ali13@gmail.com,hashed_pw,Laila,Ali,mentor,2024-08-19,2024-08-19,2024-09-26,1,1
15,hassan.ali14@gmail.com,hashed_pw,Hassan,Ali,mentor,2023-01-23,2023-01-23,2023-01-28,1,1
16,ali.adel15@gmail.com,hashed_pw,Ali,Adel,mentor,2023-05-12,2023-05-12,2023-05-18,1,1
17,khaled.ali16@gmail.com,hashed_pw,Khaled,Ali,mentor,2023-02-13,2023-02-13,2023-03-15,1,1
18,ahmed.mahmoud17@gmail.com,hashed_pw,Ahmed,Mahmoud,mentor,2024-08-10,2024-08-10,2024-09-07,1,1
19,aya.salem18@gmail.com,hashed_pw,Aya,Salem,mentor,2024-05-23,2024-05-23,2024-05-25,1,1
20,sara.salem19@gmail.com,hashed_pw,Sara,Salem,mentor,2023-06-26,2023-06-26,2023-07-19,1,1
21,ali.mahmoud20@gmail.com,hashed_pw,Ali,Mahmoud,mentor,2023-10-09,2023-10-09,2023-10-27,1,1
22,mona.mahmoud21@gmail.com,hashed_pw,Mona,Mahmoud,mentor,2023-02-05,2023-02-05,2023-03-17,1,1
23,fatma.tarek22@gmail.com,hashed_pw,Fatma,Tarek,mentor,2023-09-09,2023-09-09,2023-10-21,1,1
24,hassan.adel23@gmail.com,hashed_pw,Hassan,Adel,mentor,2024-02-26,2024-02-26,2024-04-23,1,1
25,nour.adel24@gmail.com,hashed_pw,Nour,Adel,mentor,2023-03-04,2023-03-04,2023-03-10,1,1
26,hassan.salem25@gmail.com,hashed_pw,Hassan,Salem,mentor,2023-05-21,2023-05-21,2023-06-17,1,1
27,ali.nasser26@gmail.com,hashed_pw,Ali,Nasser,mentor,2023-09-13,2023-09-13,2023-10-24,1,1
28,nour.hassan27@gmail.com,hashed_pw,Nour,Hassan,mentor,2024-01-27,2024-01-27,2024-03-18,1,1
29,aya.farag28@gmail.com,hashed_pw,Aya,Farag,mentor,2024-05-06,2024-05-06,2024-06-10,1,1
30,mona.farag29@gmail.com,hashed_pw,Mona,Farag,mentor,2024-08-02,2024-08-02,2024-09-04,1,1
31,khaled.salem30@gmail.com,hashed_pw,Khaled,Salem,mentor,2023-10-04,2023-10-04,2023-10-16,1,1
32,ahmed.farag31@gmail.com,hashed_pw,Ahmed,Farag,mentor,2024-09-03,2024-09-03,2024-09-18,1,1
33,ahmed.yasin32@gmail.com,hashed_pw,Ahmed,Yasin,mentor,2023-03-01,2023-03-01,2023-04-22,1,1
34,mona.nasser33@gmail.com,hashed_pw,Mona,Nasser,mentor,2024-01-02,2024-01-02,2024-02-21,1,1
35,fatma.ibrahim34@gmail.com,hashed_pw,Fatma,Ibrahim,mentor,2023-06-13,2023-06-13,2023-06-20,1,1
36,ali.ibrahim35@gmail.com,hashed_pw,Ali,Ibrahim,mentor,2023-09-30,2023-09-30,2023-11-04,1,1
37,aya.hassan36@gmail.com,hashed_pw,Aya,Hassan,mentor,2023-08-13,2023-08-13,2023-09-19,1,1
38,sara.farag37@gmail.com,hashed_pw,Sara,Farag,mentor,2023-06-27,2023-06-27,2023-07-09,1,1
39,ali.tarek38@gmail.com,hashed_pw,Ali,Tarek,mentor,2023-11-22,2023-11-22,2024-01-13,1,1
40,aya.farag39@gmail.com,hashed_pw,Aya,Farag,mentor,2024-08-28,2024-08-28,2024-08-30,1,1
41,aya.farag40@gmail.com,hashed_pw,Aya,Farag,mentor,2024-08-04,2024-08-04,2024-09-10,1,1
42,youssef.tarek41@gmail.com,hashed_pw,Youssef,Tarek,mentor,2023-07-12,2023-07-12,2023-09-04,1,1
43,mona.nasser42@gmail.com,hashed_pw,Mona,Nasser,mentor,2023-11-13,2023-11-13,2023-11-25,1,1
44,mona.hassan43@gmail.com,hashed_pw,Mona,Hassan,mentor,2023-04-03,2023-04-03,2023-04-07,1,1
45,ali.tarek44@gmail.com,hashed_pw,Ali,Tarek,mentor,2023-08-13,2023-08-13,2023-08-15,1,1
46,nour.adel45@gmail.com,hashed_pw,Nour,Adel,mentor,2023-01-01,2023-01-01,2023-01-23,1,1
47,fatma.ibrahim46@gmail.com,hashed_pw,Fatma,Ibrahim,mentor,2023-05-14,2023-05-14,2023-06-05,1,1
48,aya.mahmoud47@gmail.com,hashed_pw,Aya,Mahmoud,mentor,2023-11-28,2023-11-28,2023-12-02,1,1
49,ahmed.mahmoud48@gmail.com,hashed_pw,Ahmed,Mahmoud,mentor,2024-08-23,2024-08-23,2024-10-08,1,1
50,youssef.ali49@gmail.com,hashed_pw,Youssef,Ali,mentor,2024-06-22,2024-06-22,2024-08-17,1,1
51,khaled.ali50@gmail.com,hashed_pw,Khaled,Ali,mentor,2024-01-18,2024-01-18,2024-03-04,1,1
52,laila.salem51@gmail.com,hashed_pw,Laila,Salem,mentor,2024-08-23,2024-08-23,2024-08-30,1,1
53,khaled.yasin52@gmail.com,hashed_pw,Khaled,Yasin,mentor,2023-11-27,2023-11-27,2023-12-06,1,1
54,youssef.salem53@gmail.com,hashed_pw,Youssef,Salem,mentor,2024-10-16,2024-10-16,2024-11-17,1,1
55,laila.farag54@gmail.com,hashed_pw,Laila,Farag,mentor,2023-06-28,2023-06-28,2023-08-13,1,1
56,nour.tarek55@gmail.com,hashed_pw,Nour,Tarek,mentor,2024-01-01,2024-01-01,2024-01-16,1,1
